# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 40.734, 19.437 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"lat": "40.73359591755215", "lon": "19.437023344892737", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "header": "true", "local_time": "false", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,0,0,0,-0.223,0
2015-01-01 01:00,0,0,0,-0.378,0
2015-01-01 02:00,0,0,0,-0.510,0
2015-01-01 03:00,0,0,0,-0.636,0
2015-01-01 04:00,0,0,0,-0.749,0
2015-01-01 05:00,0,0,0,-0.849,0
2015-01-01 06:00,0.002,0.011,0.007,-0.593,0
2015-01-01 07:00,0.183,0.156,0.049,0.521,0
2015-01-01 08:00,0.452,0.424,0.066,1.771,0
2015-01-01 09:00,0.634,0.646,0.066,3.196,0
2015-01-01 10:00,0.699,0.720,0.081,4.375,0
2015-01-01 11:00,0.698,0.712,0.091,5.114,0
2015-01-01 12:00,0.646,0.644,0.093,5.508,0
2015-01-01 13:00,0.517,0.486,0.090,5.428,0
2015-01-01 14:00,0.302,0.258,0.074,4.349,0
2015-01-01 15:00,0.024,0.032,0.012,3.032,0
2015-01-01 16:00,0,0,0,2.636,0
2015-01-01 17:00,0,0,0,2.471,0
2015-01-01 18:00,0,0,0,2.540,0
2015-01-01 19:00,0,0,0,2.549,0
2015-01-01 20:00,0,0,0,2.469,0
2015-01-01 21:00,0,0,0,2.283,0
2015-01-01 22:00,0,0,0,2.031,0
2015-01-01 23:00,0,0,0,1.876,0
2015-01-02 00:00,0,0,0,1.785,0
2015-01-02 01:00,0,0,0,1.743,0
2015-01-02 02:00,0,0,0,1.761,0
2015-01-02 03:00,0,0,0,1.797,0
2015-01-02 04:00,0,0,0,1.811,0
2015-01-02 05:00,0,0,0,1.861,0
2015-01-02 06:00,0.022,0.035,0.006,2.244,0
2015-01-02 07:00,0.284,0.288,0.024,3.827,0
2015-01-02 08:00,0.497,0.506,0.045,5.340,0
2015-01-02 09:00,0.622,0.642,0.067,6.661,0
2015-01-02 10:00,0.704,0.752,0.071,7.802,0
2015-01-02 11:00,0.689,0.716,0.092,8.593,0
2015-01-02 12:00,0.634,0.642,0.094,9.053,0
2015-01-02 13:00,0.505,0.480,0.092,9.070,0
2015-01-02 14:00,0.294,0.254,0.075,8.477,0
2015-01-02 15:00,0.023,0.031,0.012,7.793,0
2015-01-02 16:00,0,0,0,7.556,0
2015-01-02 17:00,0,0,0,7.340,0
2015-01-02 18:00,0,0,0,7.005,0
2015-01-02 19:00,0,0,0,6.814,0
2015-01-02 20:00,0,0,0,6.625,0
2015-01-02 21:00,0,0,0,6.678,0
2015-01-02 22:00,0,0,0,6.898,0
2015-01-02 23:00,0,0,0,7.023,0
2015-01-03 00:00,0,0,0,7.119,0
2015-01-03 01:00,0,0,0,7.178,0
2015-01-03 02:00,0,0,0,7.294,0
2015-01-03 03:00,0,0,0,7.585,0
2015-01-03 04:00,0,0,0,7.871,0
2015-01-03 05:00,0,0,0,8.050,0
2015-01-03 06:00,0.014,0.026,0.007,8.341,0
2015-01-03 07:00,0.284,0.299,0.022,9.518,0
2015-01-03 08:00,0.480,0.502,0.046,10.904,0
2015-01-03 09:00,0.604,0.637,0.069,11.783,0
2015-01-03 10:00,0.652,0.683,0.092,12.664,0
2015-01-03 11:00,0.592,0.562,0.135,13.190,0
2015-01-03 12:00,0.568,0.547,0.118,13.373,0
2015-01-03 13:00,0.455,0.418,0.106,13.188,0
2015-01-03 14:00,0.276,0.239,0.077,12.744,0
2015-01-03 15:00,0.022,0.031,0.012,12.069,0
